version,predictand,roc_auc,pr_auc,brier_score,best_f1,spearman_r
v1_baseline,belief_damage,0.4537,0.2769,0.2869,0.4976,-0.0753
v1_baseline,plausibility_damage,0.4672,0.289,0.2583,0.4904,-0.0534
v1_baseline,ds_damage_mid,0.4543,0.2787,0.2664,0.484,-0.0744
v1_baseline,uncertainty_ds,0.6961,0.4131,0.2593,0.7122,0.3188
v2_viirs_dominant,belief_damage,0.8033,0.5871,0.1902,0.7912,0.4932
v2_viirs_dominant,plausibility_damage,0.8049,0.5907,0.2043,0.7915,0.4957
v2_viirs_dominant,ds_damage_mid,0.8041,0.5887,0.1958,0.7929,0.4944
v2_viirs_dominant,uncertainty_ds,0.8155,0.5954,0.2818,0.8052,0.5129
v3_weaken_s2_no_damage,belief_damage,0.8042,0.5879,0.203,0.7889,0.4946
v3_weaken_s2_no_damage,plausibility_damage,0.8111,0.603,0.2498,0.791,0.5059
v3_weaken_s2_no_damage,ds_damage_mid,0.8073,0.5942,0.2218,0.7905,0.4996
v3_weaken_s2_no_damage,uncertainty_ds,0.7852,0.5369,0.2545,0.7603,0.4637
v4_reverse_s2,belief_damage,0.8207,0.6073,0.2538,0.8054,0.5214
v4_reverse_s2,plausibility_damage,0.8212,0.6074,0.3118,0.8054,0.5223
v4_reverse_s2,ds_damage_mid,0.8209,0.6074,0.2806,0.8054,0.5218
v4_reverse_s2,uncertainty_ds,0.1845,0.2203,0.2783,0.2158,-0.5129
v5_viirs_only,belief_damage,0.8289,0.6513,0.1969,0.8054,0.5348
v5_viirs_only,plausibility_damage,0.838,0.6536,0.3918,0.8054,0.5497
v5_viirs_only,ds_damage_mid,0.8321,0.6521,0.2233,0.8054,0.5399
v5_viirs_only,uncertainty_ds,0.552,0.3382,0.2627,0.571,0.0144
