metric,mean,median,std,min,max,p25,p75,sum
p_s2_only,0.0504225386848145,0.047774295394889345,0.017402099124430557,0.02098358480489734,0.1329538638938894,0.0393534520917797,0.052929941220202004,69.58310338504401
p_viirs_only,0.5031555448071525,0.5064591124492158,0.05857480360714666,0.3124772500601257,0.5741612486529738,0.4610548112375345,0.5593694587209206,694.3546518338705
p_both,0.15540830602065978,0.15556172146824698,0.0008539809349939649,0.1509472795625916,0.1567092690056309,0.1548720332080698,0.1561271098438895,214.4634623085105
kl_s2_vs_neutral_prior,0.4962616310314141,0.5012382837195166,0.04788936852050459,0.3011836286202755,0.5913044246930255,0.48609364730033194,0.5272632694314547,684.8410508233515
kl_viirs_vs_neutral_prior,0.006923180637843172,0.0057877958665437,0.008676210381443365,4.798541871999288e-09,0.07207874456676056,0.0008970178670902832,0.008727338316818736,9.553989280223577
kl_both_vs_neutral_prior,0.26117321197011434,0.2609108182744736,0.0014482645753085771,0.2589745958250786,0.2687984535191983,0.2599556063878314,0.26207932772913095,360.4190325187578
kl_s2_vs_s2_global,0.002871958828078934,0.0009501522836573122,0.005543099948770138,1.4460249436020945e-10,0.050071168077599815,7.042504136480399e-05,0.0028321616705644322,3.963303182748929
kl_viirs_vs_viirs_global,0.006903265579579744,0.005434868560742063,0.009073392557571131,1.1071832710431184e-09,0.07446563707440243,0.0009358495767314784,0.008115322837951649,9.526506499820046
kl_both_vs_both_global,2.7820552380669614e-06,1.679393530583048e-06,4.5824692313909206e-06,1.1966391960469087e-12,7.640951491559144e-05,4.3915507597602733e-07,3.1827273706044597e-06,0.0038392362285324068
kl_s2_vs_viirs,0.5100674784518767,0.5207741681592302,0.1269612751139718,0.18730468083681437,0.7280819372107774,0.406842348182005,0.6314899521384146,703.8931202635898
kl_viirs_vs_s2,0.8751569198092726,0.8939932361663548,0.2585194190496632,0.2649337789899493,1.5103122882924436,0.6674953554764247,1.1010281120015004,1207.716549336796
jsd_s2_viirs,0.14640700039338858,0.1496622656999048,0.03622096022090426,0.053083181481778666,0.21225849688742532,0.11752741236679204,0.17999265162590145,202.04166054287623
abs_diff_s2_viirs,0.452733006122338,0.4614089018379619,0.06660901096634618,0.2524219280067776,0.5467920204870165,0.4048712576332143,0.5172521376618907,624.7715484488265
best_single_sensor_kl,0.4962616310314141,0.5012382837195166,0.04788936852050459,0.3011836286202755,0.5913044246930255,0.48609364730033194,0.5272632694314547,684.8410508233515
fusion_kl_loss,0.23508841906129982,0.23978995940577136,0.04806475186888142,0.04118084536729305,0.32887044721116276,0.22455044529516516,0.2668915778181847,324.42201830459373
fusion_suppression_ratio,0.4679763902191733,0.47895870160444953,0.06047494935700077,0.13673002598429013,0.556847382199131,0.46114542988442825,0.5063713045120715,645.8074185024592
