s2_version,w_viirs,roc_auc,pr_auc,brier_score,f1_0.5,best_f1,spearman_r,top_k_hit_rate
s2_original,0.0,0.332,0.2398,0.3435,0,0.4049,-0.2736,0.0859
s2_original,0.05,0.337,0.241,0.3391,0,0.4117,-0.2651,0.092
s2_original,0.1,0.344,0.2428,0.3342,0,0.4178,-0.2536,0.092
s2_original,0.15,0.3522,0.2449,0.3285,0,0.4238,-0.2403,0.1012
s2_original,0.2,0.362,0.2475,0.3221,0,0.4287,-0.2243,0.1166
s2_original,0.25,0.3742,0.2509,0.3148,0,0.4385,-0.2046,0.1227
s2_original,0.3,0.3892,0.2555,0.3065,0,0.4493,-0.1802,0.138
s2_original,0.35,0.4063,0.2609,0.297,0,0.4619,-0.1523,0.1564
s2_original,0.4,0.4273,0.2681,0.2864,0,0.4802,-0.1182,0.181
s2_original,0.45,0.4529,0.2774,0.2747,0,0.4937,-0.0766,0.1994
s2_original,0.5,0.4826,0.2895,0.2619,0,0.5117,-0.0283,0.2393
s2_original,0.55,0.5191,0.3065,0.2485,0,0.5419,0.031,0.2791
s2_original,0.6,0.5623,0.3305,0.2351,0.0114,0.5678,0.1014,0.3405
s2_original,0.65,0.6138,0.3656,0.2223,0.0169,0.6042,0.1851,0.4049
s2_original,0.7,0.6691,0.4127,0.2111,0.0328,0.648,0.2749,0.4755
s2_original,0.75,0.7194,0.4643,0.2025,0.1209,0.704,0.3568,0.5215
s2_original,0.8,0.7584,0.5202,0.1976,0.4322,0.7353,0.4201,0.546
s2_original,0.85,0.7916,0.5766,0.197,0.686,0.7685,0.4741,0.6074
s2_original,0.9,0.8144,0.641,0.2011,0.6765,0.7884,0.5111,0.6472
s2_original,0.95,0.8301,0.6948,0.2097,0.6452,0.8013,0.5367,0.6687
s2_original,1.0,0.8292,0.6514,0.2221,0.6305,0.8054,0.5351,0.6902
s2_rev,0.0,0.6683,0.3888,0.5173,0.5082,0.6653,0.2736,0.4049
s2_rev,0.05,0.6717,0.3949,0.5078,0.5102,0.6667,0.2791,0.411
s2_rev,0.1,0.6754,0.3983,0.4973,0.5122,0.6694,0.2852,0.411
s2_rev,0.15,0.6801,0.4031,0.4858,0.5142,0.6703,0.2929,0.4233
s2_rev,0.2,0.6854,0.4086,0.4733,0.5195,0.6772,0.3015,0.4294
s2_rev,0.25,0.6911,0.4161,0.46,0.5204,0.6822,0.3106,0.4356
s2_rev,0.3,0.6985,0.4255,0.4461,0.5227,0.6884,0.3227,0.454
s2_rev,0.35,0.7042,0.4326,0.4319,0.5211,0.7019,0.3319,0.4663
s2_rev,0.4,0.7078,0.4383,0.4173,0.5201,0.7063,0.3379,0.4847
s2_rev,0.45,0.7128,0.4454,0.4023,0.5226,0.7146,0.3461,0.4908
s2_rev,0.5,0.7204,0.4541,0.387,0.534,0.7207,0.3583,0.5123
s2_rev,0.55,0.7288,0.463,0.3715,0.5383,0.7331,0.3721,0.5276
s2_rev,0.6,0.7373,0.4729,0.3556,0.5445,0.7445,0.3858,0.5399
s2_rev,0.65,0.7467,0.4841,0.3391,0.5518,0.7514,0.4012,0.5521
s2_rev,0.7,0.7572,0.4981,0.3219,0.561,0.7608,0.4181,0.5828
s2_rev,0.75,0.768,0.5139,0.3042,0.5664,0.771,0.4357,0.5951
s2_rev,0.8,0.7803,0.533,0.2864,0.5741,0.7832,0.4557,0.6196
s2_rev,0.85,0.7933,0.5527,0.2689,0.5818,0.7928,0.4768,0.6411
s2_rev,0.9,0.804,0.5712,0.252,0.5949,0.803,0.4943,0.6687
s2_rev,0.95,0.8161,0.5996,0.2363,0.608,0.8083,0.514,0.6779
s2_rev,1.0,0.8292,0.6514,0.2221,0.6305,0.8054,0.5351,0.6902
